_id,gameId,teamId,assists,blocks,steals,fieldGoalsPercentage,threePointersPercentage,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,turnovers,q1Points,q2Points,q3Points,q4Points
699821cee161b702e088221d,22500771,1610612752,33,4,4,0.5,0.304,0.741,38,8,46,12,33,36,24,31
699821cee161b702e088221e,22500771,1610612754,30,4,6,0.515,0.4,0.731,37,6,43,11,32,31,31,30
699821cee161b702e088221f,22500768,1610612744,31,1,12,0.53,0.333,0.789,30,10,40,23,32,25,28,29
699821cee161b702e0882220,22500769,1610612747,25,2,7,0.5,0.323,0.696,28,9,37,15,30,28,33,19
699821cee161b702e0882221,22500770,1610612755,23,8,12,0.469,0.367,0.861,25,8,33,13,31,34,22,31
699821cee161b702e0882222,22500770,1610612757,36,7,8,0.485,0.407,0.76,31,20,51,18,29,35,49,22
699821cee161b702e0882223,22500769,1610612760,23,4,12,0.483,0.424,0.724,31,14,45,15,31,36,26,26
699821cee161b702e0882224,22500768,1610612763,26,3,17,0.506,0.313,0.792,29,8,37,16,32,33,33,15
699821cee161b702e0882225,22500767,1610612739,25,7,6,0.467,0.333,0.818,27,12,39,12,26,28,33,32
699821cee161b702e0882226,22500767,1610612743,25,1,9,0.447,0.325,0.8,34,12,46,13,30,29,33,25
699821cee161b702e0882227,22500765,1610612737,20,1,12,0.404,0.311,0.786,30,17,47,18,34,22,31,29
699821cee161b702e0882228,22500766,1610612740,30,5,8,0.54,0.41,0.625,32,7,39,13,31,30,31,28
699821cee161b702e0882229,22500765,1610612750,36,9,10,0.598,0.381,0.571,34,7,41,15,41,40,25,32
699821cee161b702e088222a,22500766,1610612758,19,3,8,0.404,0.129,0.667,31,19,50,14,26,20,21,27
699821cee161b702e088222b,22500762,1610612741,20,8,13,0.44,0.278,0.781,27,12,39,18,31,23,35,26
699821cee161b702e088222c,22500763,1610612748,24,3,6,0.418,0.333,0.682,33,10,43,14,32,20,30,29
699821cee161b702e088222d,22500764,1610612749,17,6,7,0.468,0.364,0.714,31,6,37,19,22,32,20,25
699821cee161b702e088222e,22500762,1610612751,28,6,10,0.511,0.48,0.677,37,10,47,18,27,33,29,34
699821cee161b702e088222f,22500764,1610612753,27,3,14,0.465,0.333,0.889,33,11,44,11,27,24,36,31
