_id,gameId,teamId,defRating,eOffRating,efgPct,netRating,pace,tsPct
699821d4e161b702e08a5abd,22500713,1610612754,120.4,114.9,0.563,-5.3,98.5,0.592
699821d4e161b702e08a5abe,22500712,1610612740,105.2,96.9,0.458,-6.2,96.5,0.5
699821d4e161b702e08a5abf,22500715,1610612746,134.7,118,0.647,-13.2,94,0.651
699821d4e161b702e08a5ac0,22500714,1610612750,138.4,128.5,0.578,-9.1,99,0.618
699821d4e161b702e08a5ac1,22500704,1610612765,76.2,129,0.635,53.8,100.5,0.665
699821d4e161b702e08a5ac2,22500705,1610612748,85,123.5,0.57,41.4,106.5,0.585
699821d4e161b702e08a5ac3,22500709,1610612746,98.9,115.9,0.572,24.2,94.5,0.597
699821d4e161b702e08a5ac4,22500702,1610612738,90.8,117.9,0.527,33.6,86.5,0.547
699821d4e161b702e08a5ac5,22500710,1610612739,106.7,125.8,0.637,20.7,103,0.654
699821d4e161b702e08a5ac6,22500708,1610612752,107.5,122,0.571,12.9,93,0.584
699821d4e161b702e08a5ac7,22500703,1610612759,101,106.6,0.549,9.9,101.5,0.583
699821d4e161b702e08a5ac8,22500706,1610612761,97.1,103.7,0.488,5.8,103.5,0.55
699821d4e161b702e08a5ac9,22500707,1610612764,115.5,117.6,0.597,2.9,97.5,0.613
699821d4e161b702e08a5aca,22500711,1610612760,112.1,123.6,0.582,10.1,99,0.624
699821d4e161b702e08a5acb,22500711,1610612743,122.2,111.5,0.595,-10.1,99,0.62
699821d4e161b702e08a5acc,22500707,1610612758,118.4,114.6,0.512,-2.9,97.5,0.579
699821d4e161b702e08a5acd,22500706,1610612762,102.9,90.1,0.4,-5.8,103.5,0.476
699821d4e161b702e08a5ace,22500703,1610612753,110.9,96.6,0.495,-9.9,101.5,0.528
699821d4e161b702e08a5acf,22500708,1610612747,120.4,103.8,0.524,-12.9,93,0.541
699821d4e161b702e08a5ad0,22500710,1610612757,127.5,101.6,0.52,-20.7,103,0.537
699821d4e161b702e08a5ad1,22500702,1610612749,124.4,90.2,0.415,-33.6,86.5,0.446
699821d4e161b702e08a5ad2,22500709,1610612756,123.2,97,0.435,-24.2,94.5,0.461
699821d4e161b702e08a5ad3,22500705,1610612741,126.4,85.9,0.356,-41.4,106.5,0.446
699821d4e161b702e08a5ad4,22500704,1610612751,130,77.1,0.377,-53.8,100.5,0.454
699821d4e161b702e08a5ad5,22500700,1610612750,111.8,126.5,0.629,17.9,101.5,0.658
699821d4e161b702e08a5ad6,22500701,1610612745,108.1,108.2,0.463,4,99,0.484
699821d4e161b702e08a5ad7,22500699,1610612755,114,121.4,0.569,7.6,101,0.595
699821d4e161b702e08a5ad8,22500692,1610612741,103.5,105.1,0.636,6.1,114,0.652
699821d4e161b702e08a5ad9,22500698,1610612754,113.8,117,0.624,5.7,108.5,0.657
699821d4e161b702e08a5ada,22500697,1610612766,112.8,116,0.517,4.1,94.5,0.568
699821d4e161b702e08a5adb,22500697,1610612759,116.8,113.5,0.556,-4.1,94.5,0.6
699821d4e161b702e08a5adc,22500698,1610612737,119.4,113.4,0.531,-5.7,108.5,0.567
699821d4e161b702e08a5add,22500692,1610612748,109.6,99.5,0.5,-6.1,114,0.543
699821d4e161b702e08a5ade,22500699,1610612740,121.6,113.2,0.516,-7.6,101,0.561
699821d4e161b702e08a5adf,22500701,1610612742,112.1,103.4,0.5,-4,99,0.517
699821d4e161b702e08a5ae0,22500700,1610612763,129.7,111.2,0.544,-17.9,101.5,0.567
699821d4e161b702e08a5ae1,22500688,1610612747,105.7,135.1,0.694,29.5,105,0.717
699821d4e161b702e08a5ae2,22500690,1610612752,97,123.1,0.581,30,100,0.604
